,Redemptions
0,0.0
1,0.015240010000000007
2,0.01798977543744207
3,0.021181072916094345
4,0.02486867065947606
5,0.029108886557192192
6,0.033957868552226864
7,0.03947072200369202
8,0.04569730319832251
9,0.05268002329235226
10,0.06044953444955357
11,0.06901626191016005
12,0.07836750433444228
13,0.08846096809178668
14,0.09921271200400318
15,0.11050102597337155
16,0.1221463848559717
17,0.13391992967475763
18,0.14553287902247702
19,0.1566408968300048
20,0.1668516513761605
21,0.1757414687834286
22,0.18286495740177083
23,0.18779057986352962
24,0.19012777226275523
25,0.18956097628711474
26,0.18589031339024506
27,0.1790645905180813
28,0.16920187500278117
29,0.15660278028829477
30,0.14174716793429243
31,0.1252635227957551
32,0.10788412844359463
33,0.09038590877951791
34,0.07351751643795494
35,0.05793146756096421
36,0.04412779420890317
37,0.032416597957401136
38,0.022909435863756353
39,0.01553569518763587
40,0.01008188901516047
41,0.006243336429344483
42,0.0036784618642783165
43,0.0020556452562418936
44,0.0010860701829248553
45,0.0005406790999896142
46,0.0002527417160711608
47,0.00011053442633568776
48,4.505828344139577e-05
49,1.7053964173355225e-05
50,5.969188928626158e-06
