,Capital,BE Liabs,SII Liabs
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,1928170.2777262062,0.0,0.0
3,1242289.792844069,0.0,0.0
4,-474660.3183933974,0.0,0.0
5,-3908457.935421729,0.0,0.0
6,-8566935.149459785,0.0,0.0
7,-14421607.151071537,0.0,0.0
8,-23751530.651319265,0.0,0.0
9,-36619572.89413208,0.0,0.0
10,-53704512.4023417,0.0,0.0
11,-74848210.28691816,0.0,0.0
12,-100369015.38327232,0.0,0.0
13,-132718626.68647508,0.0,0.0
14,-171159934.56604993,0.0,0.0
15,-219419143.8090505,0.0,0.0
16,-274475709.419072,0.0,0.0
17,-334603880.08704907,0.0,0.0
18,-403211996.06310755,0.0,0.0
19,-485037617.2244069,0.0,0.0
20,-577601499.8313164,0.0,0.0
21,-682236245.98066,0.0,0.0
22,-799501037.3443077,0.0,0.0
23,-929183854.9415935,0.0,0.0
24,-1070688507.9181333,0.0,0.0
25,-1224422781.4257941,0.0,0.0
26,-1394034330.8073332,0.0,0.0
27,-1579968215.8506227,0.0,0.0
28,-1769642243.3484948,0.0,0.0
29,-1977534465.18867,0.0,0.0
30,-2201515224.6138906,0.0,0.0
31,-2441813921.804013,0.0,0.0
32,-2694117169.482183,0.0,0.0
33,-2960345961.094089,0.0,0.0
34,-3240481710.9863076,0.0,0.0
35,-3536600789.6742663,0.0,0.0
36,-3837669494.520023,0.0,0.0
37,-4155626646.5761695,0.0,0.0
38,-4494262524.649667,0.0,0.0
39,-4844081338.480612,0.0,0.0
40,-5208265572.690426,0.0,0.0
